Model,Accuracy,F1 Weighted,F1 (Poor Class)
XGBoost,0.9868715083798882,0.9868827121499474,0.9019607843137255
Random Forest,0.9738361266294228,0.9738224151356207,0.7959183673469388
Decision Tree,0.9655493482309124,0.9655584903506343,0.74
Logistic Regression,0.916294227188082,0.9232047953646633,0.28994082840236685
SVM (RBF Kernel),0.9155493482309125,0.9171671821543091,0.5193370165745856
KNN (k=5),0.8698324022346369,0.870686429395485,0.6111111111111112
Naive Bayes,0.7000931098696462,0.7090974583305081,0.10459183673469388
